ot_weighted_cosine,uniform_control_cosine
0.8625125885009766,0.5763444900512695
0.844165563583374,0.5517050623893738
0.818473756313324,0.585393488407135
0.7755210995674133,0.656281590461731
0.9999937415122986,-0.10966295748949051
0.9999931454658508,-0.10293730348348618
0.7699944376945496,0.5875077843666077
0.8102207779884338,0.6561355590820312
0.7494655847549438,0.6326336860656738
0.9217873215675354,0.5221105813980103
0.7494655847549438,0.6326336860656738
0.9405543208122253,0.6183668375015259
0.9078689813613892,0.6694878339767456
0.9131759405136108,0.5967142581939697
0.8227918148040771,0.6587233543395996
0.7975334525108337,0.6974273920059204
0.8127095103263855,0.6383998990058899
0.7284321784973145,0.6249908208847046
0.8533815145492554,0.5493625998497009
0.8750623464584351,0.586288571357727
0.7676560878753662,0.6715161800384521
0.9076840877532959,0.6075406074523926
0.8651587963104248,0.6419297456741333
0.8548442721366882,0.5971012711524963
0.7484859228134155,0.6391139030456543
0.8808691501617432,0.6611504554748535
0.8750623464584351,0.586288571357727
0.7414284348487854,0.6581113338470459
0.8959564566612244,0.6025217771530151
0.7917696833610535,0.7180188298225403
0.7704670429229736,0.6012534499168396
0.8716726303100586,0.6276665925979614
0.7847536206245422,0.5868756771087646
0.7803962230682373,0.6314571499824524
0.9137369394302368,0.6735352873802185
0.8343164324760437,0.5857987999916077
0.752293586730957,0.6312012076377869
0.8942651748657227,0.5486457347869873
0.9259094595909119,0.6043624877929688
0.9497619271278381,0.6154268980026245
0.829073429107666,0.6242260932922363
0.989824116230011,0.6202954053878784
0.9203858971595764,0.6585949659347534
0.7600234150886536,0.6776890158653259
0.7108666896820068,0.5730712413787842
0.8655362129211426,0.6351460218429565
0.885327160358429,0.5165892839431763
0.9172860383987427,0.6195388436317444
0.8274365067481995,0.6297768950462341
0.878666877746582,0.6016135215759277
