ot_weighted_cosine,uniform_control_cosine
0.7721993327140808,0.6262503266334534
0.9123654365539551,0.5488837361335754
0.7793049812316895,0.6886677742004395
0.7820336818695068,0.6658962965011597
0.9123654365539551,0.5488837361335754
0.8020203113555908,0.6365818381309509
0.9579524993896484,0.561923623085022
0.912469744682312,0.6148189306259155
0.9331648349761963,0.5937387943267822
0.9593009948730469,0.6288937926292419
0.7993460297584534,0.6598552465438843
0.7595102787017822,0.630592405796051
0.7741321921348572,0.6680132746696472
0.9350447654724121,0.6248080730438232
0.8992612957954407,0.6000925302505493
0.7477452754974365,0.6745343208312988
0.7338200807571411,0.5815964937210083
0.9420495629310608,0.6200169324874878
0.8327455520629883,0.6732240319252014
0.8058545589447021,0.7029271125793457
0.8345903754234314,0.6744363903999329
0.8568509817123413,0.6822583675384521
0.835869550704956,0.6360594630241394
0.8768681883811951,0.5861871242523193
0.8338410258293152,0.6329684257507324
0.8889155387878418,0.615268886089325
0.7476274371147156,0.6498180627822876
0.9475573897361755,0.48707109689712524
0.7515556216239929,0.6011157035827637
0.9130834341049194,0.5693647861480713
0.9334586262702942,0.6702989339828491
0.9162042140960693,0.6062703728675842
0.9094968438148499,0.5924808979034424
0.863735020160675,0.5731234550476074
0.9313837289810181,0.5981628894805908
0.9060730934143066,0.5935178399085999
0.930037796497345,0.6474889516830444
0.8235430717468262,0.65314120054245
0.8371908664703369,0.5864766836166382
0.7054305076599121,0.6199985146522522
0.892458438873291,0.6045941114425659
0.7605453133583069,0.6890311241149902
0.7585331201553345,0.6411691308021545
0.9360179901123047,0.5890671014785767
0.9470750093460083,0.6265835762023926
0.7895937561988831,0.6838297843933105
0.9429814219474792,0.5508854389190674
0.7951197028160095,0.6904093623161316
0.876986563205719,0.61427903175354
0.7738909721374512,0.6504213213920593
