example,dist_before,dist_after,cos_before,cos_after,common_mode_shift_cosine,en_norm_before,en_norm_after,vi_norm_before,vi_norm_after
sample_0000,10.256481170654297,10.411818504333496,0.7420114874839783,0.7325266599655151,0.35763370990753174,14.815069198608398,14.883967399597168,14.147225379943848,13.966484069824219
sample_0001,11.455801963806152,11.434056282043457,0.6619171500205994,0.6602987051010132,0.36618661880493164,14.90430736541748,14.997075080871582,14.24702262878418,14.085545539855957
sample_0002,12.029261589050293,12.063217163085938,0.6156237125396729,0.6037017107009888,0.3839767277240753,15.384109497070312,15.223860740661621,14.447952270507812,14.232071876525879
sample_0003,13.817313194274902,13.642316818237305,0.35224449634552,0.3450380563735962,0.23453682661056519,12.90883731842041,12.869430541992188,11.699691772460938,11.219361305236816
sample_0004,2.7003045082092285,2.7016942501068115,0.9937826991081238,0.9937618970870972,0.9850019216537476,24.247203826904297,24.220531463623047,24.15813446044922,24.123680114746094
sample_0005,2.729355573654175,2.730623960494995,0.9934266209602356,0.9934026598930359,0.9829723238945007,23.80621337890625,23.776103973388672,23.801288604736328,23.767080307006836
sample_0006,13.66087818145752,13.631098747253418,0.5052729249000549,0.5026450157165527,0.3295423984527588,14.203692436218262,14.233452796936035,13.657371520996094,13.53930950164795
sample_0007,12.76126480102539,12.605489730834961,0.44661709666252136,0.45149603486061096,-0.11521315574645996,12.444083213806152,12.47297477722168,12.117620468139648,11.903875350952148
sample_0008,15.142349243164062,15.088850021362305,0.3624759614467621,0.34753233194351196,0.3265387713909149,14.159723281860352,14.033343315124512,13.129253387451172,12.775497436523438
sample_0009,8.132144927978516,8.188793182373047,0.8683364391326904,0.8670732378959656,0.5136849880218506,16.256729125976562,16.35638999938965,15.785913467407227,15.812788009643555
sample_0010,15.142349243164062,15.088850021362305,0.3624759614467621,0.34753233194351196,0.3265387713909149,14.159723281860352,14.033343315124512,13.129253387451172,12.775497436523438
sample_0011,6.3660430908203125,6.66610860824585,0.858493447303772,0.848760724067688,0.30550363659858704,12.963943481445312,13.196439743041992,12.948505401611328,12.888211250305176
sample_0012,8.130032539367676,7.909941673278809,0.7018788456916809,0.7065026164054871,0.4635312259197235,12.086545944213867,11.967233657836914,11.951784133911133,11.824311256408691
sample_0013,8.196626663208008,8.06446647644043,0.8014079928398132,0.8042511343955994,0.38969361782073975,14.201129913330078,14.27491569519043,13.73910903930664,13.687514305114746
sample_0014,12.178768157958984,11.920101165771484,0.4916198253631592,0.501162588596344,0.3622201383113861,12.502674102783203,12.488781929016113,12.292061805725098,12.046778678894043
sample_0015,13.28359603881836,13.06885814666748,0.3252076506614685,0.3212110698223114,0.2677001953125,11.531567573547363,11.448929786682129,11.900035858154297,11.538254737854004
sample_0016,12.575772285461426,12.550793647766113,0.48788905143737793,0.48142215609550476,0.27001798152923584,13.010226249694824,13.052978515625,12.777023315429688,12.508152961730957
sample_0017,15.48425006866455,15.227444648742676,0.2983497381210327,0.30703821778297424,0.09124962240457535,13.55208683013916,13.52660846710205,12.705787658691406,12.463549613952637
sample_0018,10.81389045715332,10.953927993774414,0.7178243398666382,0.7102183103561401,0.30295565724372864,14.920831680297852,15.038529396057129,14.313796997070312,14.170075416564941
sample_0019,9.481852531433105,9.35360336303711,0.7226041555404663,0.7240850925445557,0.3452163338661194,14.15327262878418,14.115535736083984,13.721014022827148,13.666769027709961
sample_0020,13.693155288696289,13.542266845703125,0.3056126832962036,0.3050459027290344,0.12932921946048737,11.57786750793457,11.585954666137695,11.791542053222656,11.52626895904541
sample_0021,8.783239364624023,8.71280288696289,0.773617148399353,0.7732250690460205,0.5126695036888123,14.365537643432617,14.28610897064209,13.878432273864746,13.782678604125977
sample_0022,10.055668830871582,9.986539840698242,0.6183561086654663,0.6161265969276428,0.370688796043396,12.287612915039062,12.264214515686035,12.250818252563477,12.065993309020996
sample_0023,10.60482406616211,10.690929412841797,0.6836822628974915,0.6722865700721741,0.5326034426689148,14.396004676818848,14.364551544189453,14.026156425476074,13.828442573547363
sample_0024,14.764633178710938,14.682268142700195,0.30967646837234497,0.30398720502853394,0.01837918348610401,12.998373031616211,13.072996139526367,12.343130111694336,11.99520206451416
sample_0025,9.907027244567871,9.80696964263916,0.6388869285583496,0.6371477246284485,0.3327476680278778,12.687390327453613,12.537353515625,12.36859130859375,12.219528198242188
sample_0026,9.481852531433105,9.35360336303711,0.7226041555404663,0.7240850925445557,0.3452163338661194,14.15327262878418,14.115535736083984,13.721014022827148,13.666769027709961
sample_0027,15.747570037841797,15.429458618164062,0.2507219910621643,0.25654637813568115,0.23369233310222626,13.422417640686035,13.314062118530273,12.439632415771484,12.115912437438965
sample_0028,9.606890678405762,9.40992546081543,0.7547615766525269,0.756939172744751,0.4008222818374634,14.828644752502441,14.736333847045898,14.456246376037598,14.276086807250977
sample_0029,13.485664367675781,13.130977630615234,0.21914374828338623,0.2282974272966385,0.09802070260047913,10.67305850982666,10.626849174499512,11.346538543701172,10.9591646194458
sample_0030,13.63298225402832,13.654977798461914,0.4859433174133301,0.4753809869289398,0.05805300921201706,13.923616409301758,13.9259033203125,14.089225769042969,13.831825256347656
sample_0031,10.375061988830566,10.298025131225586,0.6430860757827759,0.6456186175346375,0.2095089852809906,13.615456581115723,13.726426124572754,13.049383163452148,12.980511665344238
sample_0032,12.48210334777832,12.442273139953613,0.5077303647994995,0.5014323592185974,0.10499393939971924,13.185949325561523,13.230969429016113,12.79413890838623,12.520086288452148
sample_0033,13.582294464111328,13.583885192871094,0.4617370367050171,0.4452560544013977,0.3837401270866394,13.597702026367188,13.525403022766113,13.039299964904785,12.690166473388672
sample_0034,8.104969024658203,8.023858070373535,0.7169896960258484,0.7159735560417175,0.49534788727760315,11.339991569519043,11.269291877746582,11.673927307128906,11.473004341125488
sample_0035,11.200450897216797,11.274124145507812,0.6482698321342468,0.637859046459198,0.3555243909358978,14.049537658691406,13.996122360229492,14.023906707763672,13.911145210266113
sample_0036,14.696220397949219,14.401032447814941,0.3496473729610443,0.3546436131000519,0.24430035054683685,13.249275207519531,13.164579391479492,12.810165405273438,12.46563720703125
sample_0037,8.317985534667969,8.476194381713867,0.7812021970748901,0.771554172039032,0.16537930071353912,14.650433540344238,14.766514778137207,14.036276817321777,13.956119537353516
