example,dist_before,dist_after,cos_before,cos_after,common_mode_shift_cosine,en_norm_before,en_norm_after,vi_norm_before,vi_norm_after
sample_0000,13.730741500854492,13.624557495117188,0.4067095220088959,0.41042986512184143,0.11684306710958481,13.381213188171387,13.32469654083252,11.982856750488281,11.938632011413574
sample_0001,10.365303039550781,10.375662803649902,0.6621530652046204,0.655802309513092,0.5198545455932617,13.962409019470215,13.88504695892334,13.594002723693848,13.460419654846191
sample_0002,14.47949504852295,14.31070327758789,0.3461000919342041,0.34650781750679016,0.3319273889064789,12.885018348693848,12.826170921325684,12.72930908203125,12.503329277038574
sample_0003,8.934585571289062,8.870368003845215,0.7117000222206116,0.708906352519989,0.5331777334213257,13.601052284240723,13.41967487335205,13.171832084655762,13.025046348571777
sample_0004,10.365303039550781,10.375662803649902,0.6621530652046204,0.655802309513092,0.5198545455932617,13.962409019470215,13.88504695892334,13.594002723693848,13.460419654846191
sample_0005,12.793214797973633,12.6669921875,0.4768264591693878,0.47975730895996094,0.4053296148777008,13.19997787475586,13.093320846557617,12.550084114074707,12.502181053161621
sample_0006,9.380791664123535,9.406333923339844,0.694043755531311,0.6902047395706177,0.5797489285469055,13.635869026184082,13.657648086547852,13.174242973327637,12.988729476928711
sample_0007,15.278660774230957,15.109413146972656,0.1930849552154541,0.19263677299022675,0.21746258437633514,12.4138765335083,12.333381652832031,11.720423698425293,11.53698444366455
sample_0008,14.4871187210083,14.2840576171875,0.22853344678878784,0.2368951290845871,0.32100680470466614,12.10129451751709,12.055397987365723,11.438822746276855,11.290379524230957
sample_0009,8.00929069519043,8.107009887695312,0.7797644138336182,0.7758824229240417,0.45376837253570557,13.562356948852539,13.58294677734375,13.174331665039062,13.147871971130371
sample_0010,7.168582916259766,7.193376541137695,0.8512949347496033,0.8493089079856873,0.558965265750885,13.939929008483887,13.946269035339355,13.676727294921875,13.548872947692871
sample_0011,11.376029968261719,11.246630668640137,0.5552852749824524,0.5569039583206177,0.4812096059322357,12.870410919189453,12.728376388549805,13.030929565429688,12.872042655944824
sample_0012,15.172245025634766,15.208170890808105,0.3539980351924896,0.3433297872543335,0.2734808325767517,14.125238418579102,14.161893844604492,12.664665222167969,12.427088737487793
sample_0013,10.149413108825684,10.01727294921875,0.6726387143135071,0.6750068664550781,0.4271354675292969,13.95322322845459,13.894326210021973,13.17086410522461,13.041122436523438
sample_0014,12.166772842407227,12.261177062988281,0.5809719562530518,0.5762881636619568,0.17838241159915924,14.37967300415039,14.443395614624023,13.530815124511719,13.494112014770508
sample_0015,15.901041030883789,15.895306587219238,0.27884507179260254,0.2776041030883789,0.024991245940327644,14.058382034301758,14.132654190063477,12.492067337036133,12.368977546691895
sample_0016,14.667621612548828,14.626456260681152,0.39021673798561096,0.3843330442905426,0.28768834471702576,13.931336402893066,13.939234733581543,12.822386741638184,12.590380668640137
sample_0017,14.362526893615723,14.35551643371582,0.4105701446533203,0.4036162793636322,0.13299934566020966,13.740296363830566,13.711488723754883,13.041679382324219,12.874808311462402
sample_0018,6.1072516441345215,6.128300666809082,0.8032723069190979,0.8011579513549805,0.47328922152519226,12.410490989685059,12.512807846069336,12.532597541809082,12.479756355285645
sample_0019,7.8974199295043945,7.996469020843506,0.8084441423416138,0.8025156259536743,0.4541056156158447,13.821305274963379,13.771299362182617,13.579099655151367,13.380849838256836
sample_0020,14.255982398986816,14.207745552062988,0.33551841974258423,0.33002978563308716,0.31438782811164856,12.462800979614258,12.476285934448242,12.488059997558594,12.299155235290527
sample_0021,13.901153564453125,13.7630033493042,0.1893347054719925,0.19032759964466095,0.23522894084453583,10.981183052062988,11.014249801635742,10.925481796264648,10.685348510742188
sample_0022,13.92309856414795,13.766819953918457,0.3302631974220276,0.3358156383037567,0.19179002940654755,12.595232963562012,12.602791786193848,11.729301452636719,11.562898635864258
sample_0023,9.176780700683594,9.27074146270752,0.7374460697174072,0.7336088418960571,0.4725387394428253,13.58389949798584,13.699869155883789,13.508536338806152,13.512358665466309
sample_0024,9.503297805786133,9.40361213684082,0.752616286277771,0.7577353119850159,0.5879536867141724,14.809471130371094,14.930549621582031,13.953017234802246,14.040221214294434
sample_0025,9.176780700683594,9.27074146270752,0.7374460697174072,0.7336088418960571,0.4725387394428253,13.58389949798584,13.699869155883789,13.508536338806152,13.512358665466309
sample_0026,11.795376777648926,11.933588981628418,0.6156109571456909,0.5957938432693481,0.6538572907447815,14.245206832885742,14.092819213867188,13.563576698303223,13.223920822143555
sample_0027,8.083256721496582,7.887855529785156,0.7952640652656555,0.8015573620796204,0.6255334615707397,14.11687183380127,14.133467674255371,13.880725860595703,13.86461353302002
sample_0028,5.14079475402832,5.080146789550781,0.8916656970977783,0.8916639685630798,0.732758104801178,14.675370216369629,14.648829460144043,14.256500244140625,14.196595191955566
sample_0029,7.192155838012695,7.347484588623047,0.8602699041366577,0.8547741770744324,0.6280938982963562,15.104729652404785,15.2198486328125,14.501547813415527,14.466874122619629
sample_0030,11.780579566955566,11.702316284179688,0.5641636252403259,0.5690184235572815,0.3141142725944519,12.832037925720215,12.891731262207031,12.535192489624023,12.457313537597656
sample_0031,2.6754703521728516,2.673981189727783,0.9938085675239563,0.9938056468963623,0.9835608601570129,24.030759811401367,24.01629638671875,24.053417205810547,24.031251907348633
sample_0032,9.81776237487793,9.896707534790039,0.5735811591148376,0.5667046308517456,0.5199296474456787,11.044392585754395,11.028034210205078,11.344786643981934,11.342905044555664
sample_0033,15.80589485168457,15.846548080444336,0.14694519340991974,0.13985121250152588,-0.07974329590797424,12.604485511779785,12.736979484558105,11.63861083984375,11.455270767211914
sample_0034,11.69488525390625,11.795310020446777,0.6259540915489197,0.6139681935310364,0.5038101673126221,14.073488235473633,14.0164213180542,13.63310718536377,13.491117477416992
sample_0035,6.936985492706299,6.954889297485352,0.8291405439376831,0.8268890976905823,0.3930116593837738,13.134174346923828,13.056943893432617,12.904086112976074,12.886438369750977
sample_0036,7.4605326652526855,7.419785499572754,0.8021315336227417,0.8014264106750488,0.621029794216156,13.424857139587402,13.3460054397583,13.293037414550781,13.159574508666992
sample_0037,14.772845268249512,14.584693908691406,0.3204192817211151,0.3232806622982025,0.22254778444766998,13.304931640625,13.252188682556152,12.602927207946777,12.414393424987793
sample_0038,10.053593635559082,10.019665718078613,0.6322943568229675,0.6336965560913086,0.441052109003067,12.35897445678711,12.469768524169922,12.178791999816895,12.09184741973877
sample_0039,13.319535255432129,13.382493019104004,0.5051729679107666,0.4963717460632324,0.24690969288349152,14.263432502746582,14.21296215057373,13.519604682922363,13.404545783996582
sample_0040,14.21490478515625,14.097723960876465,0.35593709349632263,0.3623025119304657,0.16030339896678925,13.255714416503906,13.295280456542969,11.941424369812012,11.81816577911377
