Method,SQuAD_EN,MLQA_VI,XQuAD_VI
M0: Zero-shot (Baseline),64.26,46.05,46.22
M1: Vanilla KD,65.65,41.34,45.55
M2: OT Only (Global),66.08,36.08,38.66
M3: OT + Span (Local),64.58,44.35,46.62
M4: Static Margin,65.64,45.41,51.26
M5: Ours (Dynamic),64.84,46.0,51.26
