Method,SQuAD_EN,MLQA_VI,XQuAD_VI
M0: Zero-shot (Baseline),72.84,67.21,63.64
M1: Vanilla KD,72.8,56.39,62.55
M2: OT Only (Global),72.75,56.06,57.63
M3: OT + Span (Local),73.09,65.33,66.5
M4: Dynamic Margin,74.37,67.33,69.28
M5: Ours (Static),74.02,67.6,69.73
