Method,SQuAD_EN,MLQA_VI,XQuAD_VI
M0: Zero-shot (Baseline),64.26,46.05,46.22
M1: Vanilla KD,64.08,33.79,37.39
M2: OT Only (Global),66.08,36.08,38.66
M3: OT + Span (Local),64.58,44.35,46.62
M4: Dynamic Margin,66.21,45.23,49.5
M5: Ours (Static),65.69,46.0,49.7
